iid	check	final_status	evidence	category	sub_cause
2734	recursive_case	blocked	no_source_attachment	artifact_missing	no_reproducible_source_attachment_for_reported_recursive_case
2735	value_mismatch	reproduced_mismatch	methodology_summary_mismatch	ub_sensitive_semantic_mismatch	unsequenced_read_write_on_g_24_is_linearized_in_slice_and_changes_g_371_path
2736	loop_condition_removed	partial	missing_7RR349_seed_syn0.c	artifact_missing	primary_seed_attachment_missing_only_report_text_available
2737	const_init_loss	reproduced_mismatch	methodology_summary_mismatch	initializer_loss	local_const_array_l_4351_initializer_dropped_but_l_4351_1_still_used
2739	pointer_init_loss	reproduced_crash	methodology_note_and_stable_segfault	initializer_loss_crash	local_pointer_l_2338_declaration_kept_but_init_to_g_1320_dropped_then_dereferenced
2740	fnptr_link_error	not_reproduced_current_artifact	no_expected_link_error	artifact_drift_or_fixed_attachment	current_test_sliced_c_already_points_to_slice_1_functions_and_runs_match
2741	vla_alloc_link_error	partial	no_attachment_but_known_pattern	artifact_missing	no_local_attachment_to_reproduce_reported___fc_vla_alloc_link_error
2742	varargs_array_assign	reproduced	array_type_assignment_error	varargs_type_system	sliced_code_assigns_pointer_to_array_typed_va_list_and_fails_compilation
2746	init_expr_loss	reproduced	last_line_diff	initializer_loss	local_initialization_expression_removed_leaving_uninitialized_value_use
2747	div_by_zero_from_uninit	inconclusive	no_sigfpe_in_log	potential_initializer_loss_unstable	local_divisor_initializer_loss_hypothesis_exists_but_current_logs_did_not_trigger_sigfpe
2748	pointer_dependency_missing	reproduced_mismatch	methodology_summary_mismatch	initializer_and_pointer_chain_loss	multiple_locals_l_2835_l_2939_l_99_used_without_initializers_and_pointer_chain_degraded
2749	function_slice_incorrect	reproduced	runtime_output_diff	function_slicing_dataflow_break	inline_function_parameter_dataflow_lost_or_deformed_in_sliced_version
2750	over_preserve_unused_global	reproduced	unused_variable_warning	precision_over_preservation	unused_global_g_170_retained_in_slice_without_dependency_to_criterion
2751	over_preserve_unmodified_criterion	reproduced	g_1141_present_in_slice	precision_over_preservation	unmodified_criterion_g_1141_retained_due_to_over_conservative_marking
